epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation mse loss,Validation bounding box iou,Train mse loss,Train bounding box iou
0,0.0922491678554446,0.18063314711359404,0.15862632869991825,0.08210277613703484,0.15977011494252874,0.1444906444906445,0.2937697425902278,0.4541298701298701,0.4541298701298701,0.29221435793731043,0.4522691705790297,0.4522691705790297,0.07803112723288082,0.0029590724778522383,0.07565639347556126,0.00411233375762752
1,0.10275718257645969,0.21576258817805888,0.1640162721893491,0.0903755868544601,0.19419924337957126,0.14460093896713616,0.3010277047926298,0.46275371951531263,0.46275371951531263,0.29906542056074764,0.460431654676259,0.460431654676259,0.06536239850379172,0.020018357447947242,0.06379198718322329,0.023611915881285465
2,0.10899931302953973,0.24058630275461207,0.1661721068249258,0.09740634005763689,0.2175032175032175,0.14995563442768411,0.3023966009427073,0.46436945662147006,0.46436945662147006,0.30104842735896153,0.46277820414428245,0.46277820414428245,0.0620710369518825,0.04013003679524575,0.06046707860856171,0.044805707387536406
3,0.11333559552086868,0.2534783708575765,0.1701188455008489,0.09897025171624714,0.2261437908496732,0.14965397923875431,0.30341398740470665,0.46556810090529954,0.46556810090529954,0.3016295310941137,0.4634644864588656,0.4634644864588656,0.05998713059084756,0.054722178411403935,0.05826701906072088,0.05773569798343871
4,0.11581316826111424,0.2652061855670103,0.17053364269141533,0.09902130109383996,0.22811671087533156,0.14891774891774892,0.3038062742240037,0.46602977793587075,0.46602977793587075,0.3034825870646766,0.46564885496183206,0.46564885496183206,0.05817610146034331,0.07079909232278754,0.05643981959984963,0.07191648123314581
5,0.11764705882352941,0.27234927234927236,0.17157825802226587,0.0990836197021764,0.2325268817204301,0.1472340425531915,0.30412900235091556,0.4664093840450922,0.4664093840450922,0.3039443155452436,0.46619217081850534,0.46619217081850534,0.05688387711842855,0.08101620670723995,0.05507777958928821,0.08098622635904565
6,0.11995090381611248,0.28267157507231133,0.17244145011228745,0.10609480812641084,0.25508819538670285,0.15372035977105478,0.30403682485015066,0.46630098024277516,0.46630098024277516,0.304059652029826,0.4663278271918678,0.4663278271918678,0.05577698551473163,0.08724454500135921,0.05401417779096638,0.0837620551507157
7,0.12160053499777085,0.28620146904512067,0.1745320748680211,0.10350678733031674,0.2503419972640219,0.15,0.3045895238410377,0.46695074316440927,0.46695074316440927,0.30359807660421156,0.465784787585856,0.465784787585856,0.05481151983141899,0.09202568697125008,0.0530149596911597,0.08988963974168501
8,0.1222061603469365,0.2896678966789668,0.17449984121943474,0.10529279279279279,0.25616438356164384,0.1516626115166261,0.3048655442728145,0.4672750316856781,0.4672750316856781,0.3034825870646766,0.46564885496183206,0.46564885496183206,0.05414981567079113,0.09213274208191294,0.05231282487511635,0.09150904125298362
9,0.12298812298812299,0.2934322033898305,0.17473584608105977,0.10918253079507279,0.26933701657458564,0.15513126491646778,0.30484255093940194,0.46724802271344557,0.46724802271344557,0.3037135278514589,0.4659206510681587,0.4659206510681587,0.05354825720191002,0.1010691391682208,0.05172418497772102,0.09966239122202597
