epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation confidence loss,Validation bounding box loss,Validation classes loss,Validation bounding box iou,Train confidence loss,Train bounding box loss,Train classes loss,Train bounding box iou
0,0.11405357628501496,0.26111658797281173,0.16840396874529423,0.10951128917824798,0.2515578563896079,0.16243654822335024,0.30541463269535213,0.46791973223825123,0.46791973223825123,0.3055038165151017,0.468024394337828,0.468024394337828,2.286984699180494,2.2797818343546763,2.2682071907158203,0.0072395781344234324,2.2747767240208336,2.288258163124577,2.255267881446866,0.006603591306584272
1,0.11796125804306916,0.2809975035567605,0.16895861579185228,0.11482558139534883,0.2744144501786423,0.16488759019619537,0.3074951067293181,0.47035756408834767,0.47035756408834767,0.3071822399261616,0.4699914526738266,0.4699914526738266,2.0915729994965946,2.0971815831162055,2.248712227799551,0.002155989160973504,2.0619244520324447,2.1019550673708993,2.2284261692456004,0.003083817920509735
2,0.11824244537163037,0.2760594444152707,0.17138572383327627,0.11733432245301681,0.272936439459304,0.17068345323741008,0.30886608787161274,0.47195979899497487,0.47195979899497487,0.30837495756752825,0.47138621200889547,0.47138621200889547,1.987897243813075,2.0693854017823394,2.2370069295255686,0.002469172513577834,1.9410896688953823,2.0738559515554633,2.2141459266973906,0.003487336202066598
3,0.12004300449083355,0.2781627092253795,0.17435788994258014,0.11844053298239843,0.27478294055910696,0.17230032904576728,0.3100323709593754,0.47332016800826004,0.47332016800826004,0.3089781481660933,0.4720906129700918,0.4720906129700918,1.920322851251898,2.0633068500302683,2.22520506243237,0.001508243898660881,1.8541832726707412,2.0637187684787466,2.202789026114014,0.0022467818194947826
4,0.12125581187410586,0.27695803124680896,0.17741909107262588,0.11881718215888967,0.27245254509396544,0.17403631537672679,0.31120375468680356,0.4746840505519117,0.4746840505519117,0.31008961288684106,0.47338687344225977,0.47338687344225977,1.890403784206026,2.0539733990431333,2.218263726593184,0.001715782958118705,1.8091118667506125,2.055017443725456,2.1932376058325262,0.0024912415014087643
5,0.12295885406224243,0.2728913279936715,0.18287086888097406,0.11974323100979344,0.2665567463588898,0.17858238723534828,0.31162114269056035,0.47516944115634535,0.47516944115634535,0.3101897195922661,0.4735035162522842,0.4735035162522842,1.8505774915961217,2.053335483838826,2.2122469725707123,0.0015173451875740698,1.7431594587853416,2.0537839571828527,2.186662990486433,0.0021757272009112075
6,0.12501249569592696,0.27461266316945226,0.18664698761214574,0.12191117313849438,0.2691192461036607,0.18225331369661266,0.31226990853608655,0.47592329368344927,0.47592329368344927,0.3106315102593228,0.47401807117831457,0.47401807117831457,1.8086345604664102,2.0481560664564107,2.2084523339439386,0.0018387038697504736,1.6871746805350178,2.0478711235682945,2.180483679533295,0.002569531444053019
7,0.12568366633754535,0.2757051422452605,0.1876376765987048,0.12195021937917742,0.2692621095518334,0.18227506741848493,0.3128523037888597,0.47659939032894344,0.47659939032894344,0.3108730053271807,0.4742991946036602,0.4742991946036602,1.7903033825991352,2.045209850290015,2.2029737896612325,0.0023972116844859304,1.66268162786888,2.0444531495910905,2.1750072195817434,0.003310105334922886
8,0.12781522820201127,0.28076904403553915,0.19003647596201242,0.12374677742767115,0.27383863080684595,0.1841880862468023,0.3136265509211631,0.4774972775957317,0.4774972775957317,0.31153832229101047,0.47507315187986526,0.47507315187986526,1.769075348698357,2.040348108295237,2.19836488847996,0.0029554707534106806,1.6294868560133549,2.0388739466231574,2.1689772899200217,0.004021557712499128
9,0.1297825034121428,0.27675155498180964,0.19639228488623872,0.12579818603326962,0.2700838281522878,0.19059649987675623,0.3133641757494969,0.47719312211431303,0.47719312211431303,0.31146353827214135,0.47498619547211485,0.47498619547211485,1.743916824136398,2.036020662219206,2.19332996579578,0.003909562977512901,1.5898751366007777,2.0338004220562933,2.163963546996866,0.005594113394553694
