epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation confidence loss,Validation bounding box loss,Validation classes loss,Validation bounding box iou,Train confidence loss,Train bounding box loss,Train classes loss,Train bounding box iou
0,0.20288987530620892,0.36195905760194524,0.3158521024788175,0.1946783545002761,0.3510267579340386,0.3041462231088586,0.31462487974301695,0.4786534692763762,0.4786534692763762,0.31365047282177144,0.47752500274755466,0.47752500274755466,1.669376942870005,1.172897969923319,1.7872379239512233,0.42760725424741314,1.592353579333,1.2338296419665236,1.779140724915099,0.39832075918490356
1,0.20686252113126513,0.3663284625467256,0.3221298878706813,0.20044293015332199,0.3578249498205705,0.313058748403576,0.31572058373436307,0.4799204141631114,0.4799204141631114,0.31477989309951354,0.4788328369662531,0.4788328369662531,1.660067597635247,1.1549283656744984,1.7521933692257605,0.43623081709681627,1.580232839927023,1.2240229959755082,1.7441948374935248,0.4030200931244733
2,0.21226432034476567,0.37384566729917773,0.3293583349586247,0.20394980318272046,0.36362545738108093,0.31714973317986817,0.31617034568929614,0.4804398560183537,0.4804398560183537,0.3149362345990345,0.479013698630137,0.479013698630137,1.6396440772592482,1.1620112293303355,1.7195214155333696,0.4326572003245172,1.553086111809827,1.2272645151571582,1.7073901692784224,0.4012514250069385
3,0.21810100796317364,0.3801589375470741,0.3384606962995402,0.20971258671952428,0.3700378898280385,0.32615732415352205,0.31736312994331933,0.4818157161525754,0.4818157161525754,0.3161925995181416,0.4804655483306923,0.4804655483306923,1.4371814972357289,1.1473915962325525,1.6690009500998013,0.4396263725180654,1.3143429072998039,1.2195543603252406,1.6574302524074132,0.40490700495083354
4,0.22058862161665163,0.3772745653052972,0.34689268648700755,0.21255246589716684,0.3667326732673267,0.33580272496503133,0.3182909265482477,0.482884195193008,0.482884195193008,0.31691312937795607,0.4812969394991908,0.4812969394991908,1.4207943656332145,1.1536003153845866,1.6500469522969021,0.4368426926955705,1.2897489668390782,1.214768757265465,1.6366553861244006,0.4074485670779713
5,0.22230942974997603,0.37693331361821675,0.35146351215342403,0.21366345712975698,0.36536738351254483,0.3397562753879804,0.3176113800705897,0.4821017560634213,0.4821017560634213,0.31630733092844043,0.48059799333539704,0.48059799333539704,1.4120175736867124,1.1487715993760395,1.6448436152899009,0.4390483578805934,1.2890944441328966,1.215224059795491,1.6281268031820746,0.4070713930240357
6,0.22255254967262708,0.37492839832562236,0.3538389032893004,0.21455687917266658,0.36351538674799,0.3436599045971589,0.31767784498404256,0.4821783202826632,0.4821783202826632,0.31630733092844043,0.48059799333539704,0.48059799333539704,1.4647450868997345,1.1627392738852758,1.6392381838034726,0.43220127074878184,1.3399623993979302,1.224917941494197,1.6233518181706752,0.4022893477662327
7,0.22409981185569244,0.3818098558260459,0.3517172871761376,0.21517421035493325,0.3698852504897845,0.3396905361640878,0.3177531562356959,0.4822650657022778,0.4822650657022778,0.3165776169825335,0.4809099181073703,0.4809099181073703,1.4196866792246108,1.148940199501567,1.6272793846758498,0.43889173379021085,1.2814943118159285,1.2166944108404283,1.6050219225099402,0.4062613235394063
8,0.2289534457634196,0.38815608882211017,0.35824099630651896,0.21854773788439866,0.37381581846221634,0.3447627755765519,0.3184920956627483,0.48311566934749994,0.48311566934749994,0.3169785568047125,0.4813723885888834,0.4813723885888834,1.37138771156917,1.142509400452768,1.5930740259286205,0.441941636070528,1.2134020115803568,1.2057817274121507,1.5638178389487691,0.41150114408509303
9,0.23190900499527475,0.3912368859343193,0.36283945238755333,0.2222328548644338,0.3778814340727884,0.35045271629778674,0.31804317069688354,0.48259901916372877,0.48259901916372877,0.31652030143649584,0.48084378355750507,0.48084378355750507,1.3752383279492644,1.1344293366807856,1.5683276175215444,0.44578502965167793,1.1909610671189759,1.20000619015653,1.5334787339734393,0.41420357606297725
