epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation confidence loss,Validation bounding box loss,Validation classes loss,Validation bounding box iou,Train confidence loss,Train bounding box loss,Train classes loss,Train bounding box iou
0,0.11227595536016233,0.2411038489469862,0.17364016736401675,0.1070627802690583,0.2290167865707434,0.16739702015775634,0.2998634107339174,0.4613768004510739,0.4613768004510739,0.2964824120603015,0.4573643410852713,0.4573643410852713,2.8068471630414327,2.6806581678844634,2.260657270295279,0.0011754120821743051,2.7355224023382347,2.6814465953643065,2.2435244307460556,0.0013749853720823977
1,0.12565963060686017,0.2869696208887773,0.18270460358056265,0.10974930362116991,0.2585301837270341,0.16016260162601625,0.3042211554378414,0.4665177438188557,0.4665177438188557,0.30197772976566395,0.4638754148583099,0.4638754148583099,2.52409853605997,2.2790753083001998,2.24280555270967,0.0006230277752426142,2.470830130289836,2.282275607786983,2.1956230387630233,0.0010153004227778368
2,0.13009922822491732,0.3027970233512959,0.18573902093499134,0.11826762909494726,0.28286852589641437,0.168913560666138,0.3036447978793903,0.46583977226514844,0.46583977226514844,0.29964982491245623,0.4611239414934565,0.4611239414934565,2.589737569036938,2.094715042341323,2.2345298240298317,0.002614735957163031,2.43430062661688,2.091705287795469,2.1809445547770303,0.003069966735180849
3,0.12962555066079295,0.2946920380570856,0.1879291074564905,0.11336717428087986,0.268,0.1642156862745098,0.30023640661938533,0.4618181818181818,0.4618181818181818,0.2968357609241587,0.45778466305189774,0.45778466305189774,2.8027558955124445,2.057717533792768,2.2469507949692864,0.004033761059288822,2.6425703850137183,2.0626141393041038,2.1769154646310462,0.004092800249317549
4,0.12933684672815107,0.292816306239125,0.18808877534727766,0.11426978818283166,0.2645161290322581,0.16748366013071894,0.3064255305105442,0.469105239225989,0.469105239225989,0.3020937188434696,0.46401225114854516,0.46401225114854516,2.417226141066778,2.055054216611953,2.243650057429359,0.004247143594548106,2.21493136882782,2.0525510110050798,2.164348250412079,0.005171938622594777
5,0.1350097129289877,0.2862045298558682,0.20354702245362838,0.11086350974930362,0.24598269468479605,0.1679324894514768,0.3052332308506066,0.4677068031001469,0.4677068031001469,0.30081571499916765,0.46250319938571793,0.46250319938571793,2.4231777285394216,2.049664026214963,2.2374245904740833,0.010992955951286213,2.216770680553942,2.047931662525039,2.147751834019121,0.011654780418836478
6,0.13255106475445458,0.28319405756731664,0.19947678221059517,0.11129848229342328,0.24719101123595505,0.1683673469387755,0.30827463629780794,0.4712689946663983,0.4712689946663983,0.30382894082545997,0.4660564454614798,0.4660564454614798,2.3048298878896802,2.031931828771319,2.237403068428948,0.013487139936215023,2.1154412296881158,2.03379292229572,2.1433968673269432,0.010886748052056295
7,0.13564088696592752,0.2954759660697455,0.20047961630695443,0.10728402032749859,0.241423125794155,0.16183986371379896,0.30877516116300485,0.47185363892239646,0.47185363892239646,0.304059652029826,0.4663278271918678,0.4663278271918678,2.3936332591090883,2.0133139559768494,2.2553624818438576,0.01247354154962869,2.1412802934646606,2.017543481056949,2.1343728519347778,0.010930148327824133
8,0.14121037463976946,0.2936736958934517,0.21383546145143043,0.1135469364811692,0.24604141291108406,0.17413793103448275,0.3100686123239552,0.47336240164386306,0.47336240164386306,0.304635761589404,0.467005076142132,0.467005076142132,2.2469057989971977,2.0175932221185593,2.244110174179077,0.010885352172689246,1.9019496943577225,2.0132799450173438,2.1147616225552848,0.012454243191708642
9,0.14418703057230509,0.2868869711639655,0.2247320692497939,0.11561978877153975,0.2427071178529755,0.1808695652173913,0.31117666338905275,0.47465253474652536,0.47465253474652536,0.3037135278514589,0.4659206510681587,0.4659206510681587,2.197878686132885,2.0136962638582503,2.25107037907555,0.013696523364189835,1.8228199435285775,2.0201051436274886,2.1028392645249885,0.011407961981954524
