epoch,Train classes accuracy,Train classes precision,Train classes recall,Validation classes accuracy,Validation classes precision,Validation classes recall,Train confidence accuracy,Train confidence precision,Train confidence recall,Validation confidence accuracy,Validation confidence precision,Validation confidence recall,Validation confidence loss,Validation bounding box loss,Validation classes loss,Validation bounding box iou,Train confidence loss,Train bounding box loss,Train classes loss,Train bounding box iou
0,0.12668766876687668,0.34635496770224544,0.16649415939671744,0.11807498601007274,0.33124018838304553,0.1550330639235856,0.29038357644516477,0.4500732677412602,0.4500732677412602,0.2860785313615502,0.44488501189532115,0.44488501189532115,2.7463383515675863,2.0101903404508317,2.234409848394848,0.007877633316176278,2.714247281292835,2.0150593835187247,2.2119812706866897,0.0072318581949796035
1,0.12637300418978598,0.26956521739130435,0.19218184949199243,0.11851015801354402,0.25766871165644173,0.17994858611825193,0.30181721537490447,0.4636860103098045,0.4636860103098045,0.3,0.46153846153846156,0.46153846153846156,2.458937323888143,2.0185969965798516,2.2273353127070834,0.0,2.466043796884008,2.0174107350498796,2.189948716795588,0.0
2,0.12913350521242012,0.3022828653896615,0.18396678377515172,0.11562678878076703,0.2793914246196404,0.16476345840130505,0.3030905955697042,0.4651872964169381,0.4651872964169381,0.30197772976566395,0.4638754148583099,0.4638754148583099,2.3993552551950725,2.0152727186112176,2.224173264503479,0.0,2.4200730754668456,2.014641922640513,2.1843927538538552,0.0
3,0.1304883512544803,0.27678783559040154,0.19799456152277362,0.11936036550542548,0.2583436341161928,0.18158123370981755,0.3014691218506947,0.46327510470936767,0.46327510470936767,0.2992992992992993,0.46070878274268107,0.46070878274268107,2.421725265298571,2.0135022090730215,2.224016227722168,0.0,2.418110389307321,2.0129320736391,2.1824531497725523,0.0
4,0.1303030303030303,0.24017376913529168,0.22169180828718732,0.11842105263157894,0.22330097087378642,0.20136186770428016,0.29949001699943334,0.46093469450572,0.46093469450572,0.2969534650150653,0.4579246257098606,0.4579246257098606,2.447699770132701,2.01204282669794,2.233500998814901,0.0,2.4040969394775757,2.011553939566555,2.185419685869332,0.0
5,0.12663259511641112,0.21841332027424093,0.23156801661474558,0.11855670103092783,0.20353982300884957,0.22115384615384615,0.30283629125891526,0.46488771197229717,0.46488771197229717,0.3024414549078226,0.46442234123947973,0.46442234123947973,2.378744242021016,2.010988500231788,2.242286065419515,0.0,2.311548484377114,2.010591501212982,2.193481629153332,1.0420367716396429e-05
6,0.12990497484628283,0.2869135802469136,0.19184414726762425,0.12011331444759207,0.27040816326530615,0.1777032690695725,0.30283629125891526,0.46488771197229717,0.46488771197229717,0.3,0.46153846153846156,0.46153846153846156,2.4079526989232924,2.010024509884062,2.2249015994299026,0.0,2.3256224508745125,2.0096261673663034,2.181736701942352,0.0
7,0.131602406953421,0.3020460358056266,0.18911128903122498,0.12047511312217195,0.28475935828877,0.17274939172749393,0.3021881329481688,0.4641236167066143,0.4641236167066143,0.2988313856427379,0.4601542416452442,0.4601542416452442,2.3702269318274087,2.0093811157771517,2.2242361568269278,0.0,2.283127372523388,2.0090489301336816,2.1795894812388594,0.0
8,0.13043478260869565,0.261899390931649,0.20625333096464737,0.11761363636363636,0.23363431151241534,0.19148936170212766,0.30500347233704816,0.46743702802696263,0.46743702802696263,0.3011647254575707,0.4629156010230179,0.4629156010230179,2.198011913668542,2.008759918667021,2.222291803814116,0.0,2.117929343717644,2.008619828396533,2.1790197297751184,0.0
9,0.13143176733780762,0.2767962308598351,0.20017035775127767,0.12170499158721257,0.25589622641509435,0.18836805555555555,0.3068372967446156,0.46958760284690326,0.46958760284690326,0.3024414549078226,0.46442234123947973,0.46442234123947973,2.215070154411452,2.0082789307548885,2.231675618489583,0.0,2.1295944452285767,2.0078706051929887,2.182269366390734,1.211828939302499e-05
