epoch,Validation Confidence,Validation Bounding box,Validation Classes,Validation accuracy,Train Confidence,Train Bounding box,Train Classes,Train accuracy
0,0.33352961297146977,0.0918136792909354,2.299550523161888,0.289375,0.31835628347471356,0.09101023362018168,2.2587650269269943,0.3190918
1,0.3133771232608706,0.07949360963888466,2.233958820104599,0.375,0.2974445284344256,0.07912030653096735,2.2140715047717094,0.39868164
2,0.30961892401333896,0.07793245731852949,2.2239017343521117,0.351875,0.2903979457914829,0.07761088060215116,2.2026884704828262,0.36218262
3,0.30494200078770517,0.07102805788163095,2.2196270662546156,0.36625,0.284730336163193,0.07086259499192238,2.1885395869612694,0.35742188
4,0.306158130466938,0.04333115112269297,2.2147770485281946,0.284375,0.2870296682231128,0.042889843694865704,2.177497521042824,0.27929688
5,0.3090117483679205,0.040430204330477865,2.2124688830971717,0.2475,0.28839193983003497,0.03966656175907701,2.1668150946497917,0.2442627
6,0.29571910922415556,0.0397211858141236,2.2102981624007225,0.265625,0.27400228288024664,0.03877545247087255,2.156086914241314,0.26416016
7,0.29976373587734995,0.039525866134790706,2.204659325480461,0.263125,0.2710372186265886,0.03876375628169626,2.149827867746353,0.25219727
8,0.29935239708051087,0.039485530218807983,2.217097007930279,0.225,0.26949593843892217,0.03893904451979324,2.143737904727459,0.22460938
9,0.3009242716711015,0.038840495552285574,2.2232063373923303,0.265,0.2739551751874387,0.03806158388033509,2.141957700252533,0.2659912
10,0.2952914877422154,0.039043846026761454,2.2346037770807743,0.2275,0.2677313690073788,0.03838019125396386,2.1413877457380295,0.24389648
11,0.29402369665913286,0.03919235832698178,2.241518392711878,0.164375,0.267930603120476,0.03848775592632592,2.1433767415583134,0.1977539
12,0.3046598976198584,0.039076241907314395,2.2428890788555145,0.19625,0.26855735667049885,0.03824517712928355,2.1174161583185196,0.21887207
13,0.2983046165248379,0.03863198746694252,2.2342873549461366,0.16875,0.25830910028889775,0.037696204613894224,2.108954720199108,0.19970703
14,0.3037207010295242,0.039039919060887766,2.2406565722823144,0.2175,0.2619695872999728,0.037890161853283644,2.1111693419516087,0.2331543
15,0.30470301196910443,0.03839968969754409,2.2841245612502097,0.1325,0.2660513976588845,0.037596270558424294,2.137191291898489,0.17602539
16,0.2949151530303061,0.038084835044573995,2.2896539944410326,0.165,0.26000718539580703,0.03703357675112784,2.112169075757265,0.21801758
17,0.3073221485968679,0.03818916212301701,2.287150154709816,0.135,0.2633711686357856,0.03691712429281324,2.077359654009342,0.20239258
18,0.30300647822674365,0.03805479251779616,2.2770776015520098,0.1225,0.25403844844549894,0.037082944123540074,2.0697149075567722,0.17541504
19,0.28901405770797284,0.03880998718319461,2.3176475074887275,0.105625,0.24355254275724292,0.038369232614059,2.0953858830034733,0.17224121
