epoch,Validation Confidence,Validation Bounding box,Validation Classes,Validation accuracy,Train Confidence,Train Bounding box,Train Classes,Train accuracy
0,0.32072251023724674,1.0423421874642371,2.2983368396759034,0.239375,0.3236395516432822,1.0395461171865463,2.2648952528834343,0.25878906
1,0.30589501635171473,1.0090086314082145,2.2476358211040495,0.32,0.29973916662856936,1.0094876661896706,2.2148283645510674,0.34094238
2,0.29955157920718195,1.0077128437161447,2.224569663703442,0.263125,0.2933701309375465,1.0081336833536625,2.1925256699323654,0.28076172
3,0.30191968826577065,1.006576420366764,2.2106557446718216,0.285,0.2918998380191624,1.0075450763106346,2.180450513958931,0.2803955
4,0.29770522434264424,1.0062365752458573,2.206679736673832,0.29875,0.2857977757230401,1.0069138891994953,2.177006982266903,0.2972412
5,0.2991464614495635,1.006308105289936,2.2010262051224707,0.2475,0.2855012770742178,1.0065801925957203,2.171694189310074,0.23657227
6,0.29824842713773253,1.0058544373512268,2.1985062700510025,0.265,0.28327029664069414,1.006195768713951,2.1688050851225853,0.25756836
7,0.2877755718957633,1.0057562738656998,2.2018740794062612,0.271875,0.2725083571858704,1.0062807090580463,2.171306811273098,0.265625
8,0.28406353190541267,1.005578225851059,2.2049697449803354,0.236875,0.2674782630056143,1.0059861205518246,2.1691352501511574,0.22814941
9,0.2812155716121197,1.0054758810997009,2.2026399105787275,0.235,0.2631301814690232,1.0058238469064236,2.1640162020921707,0.22314453
10,0.28056936715729536,1.005486546754837,2.203526725769043,0.2475,0.26147019769996405,1.0057530142366886,2.1634145081043243,0.2310791
11,0.29008229756262155,1.0054393887519837,2.2053996661305426,0.26625,0.26447594864293933,1.0059098973870277,2.1597555428743362,0.25671387
12,0.2851795448362827,1.0052466037869454,2.2071590808033945,0.255625,0.2550267968326807,1.0057539083063602,2.15752874314785,0.25
13,0.2800113945640624,1.0049624034762383,2.209439114332199,0.22625,0.24839975172653794,1.005474653095007,2.152989998459816,0.22338867
14,0.28622080640867353,1.0048830655217171,2.206319972872734,0.255625,0.24681975599378347,1.0054123997688293,2.145713560283184,0.25317383
15,0.2787354805925861,1.0047798812389375,2.209989629983902,0.249375,0.23589301342144608,1.0051461718976498,2.1352835968136787,0.2578125
16,0.2811731922137551,1.0047450229525565,2.2184561124444007,0.22875,0.2350811492651701,1.0049384273588657,2.132488638162613,0.24255371
17,0.2809179529361427,1.0046424156427383,2.231209835708141,0.206875,0.23267850326374173,1.0048954524099827,2.1296650916337967,0.23132324
18,0.28886255365796387,1.0045750832557678,2.2458028280735016,0.19,0.25053791934624314,1.0048684813082218,2.128528743982315,0.20410156
19,0.2964870229456574,1.0045160898566245,2.2442898574471473,0.145625,0.2532981773838401,1.0047348514199257,2.132297247648239,0.17614746
